,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2022-09-29,13.5,13.5,13.5,13.5,13.3961,0,0.0000,1.0,MSF0.FRK
2022-09-30,13.0,13.6,13.0,13.6,13.4954,10,0.0000,1.0,MSF0.FRK
2022-10-03,12.8,13.2,12.8,13.2,13.0984,4,0.0000,1.0,MSF0.FRK
2022-10-04,13.4,13.4,13.4,13.4,13.2969,0,0.0000,1.0,MSF0.FRK
2022-10-05,13.6,13.6,13.6,13.6,13.4954,0,0.0000,1.0,MSF0.FRK
2022-10-06,13.7,13.7,13.7,13.7,13.5946,0,0.0000,1.0,MSF0.FRK
2022-10-07,13.6,13.6,13.6,13.6,13.4954,0,0.0000,1.0,MSF0.FRK
2022-10-10,13.0,13.0,13.0,13.0,12.9,0,0.0000,1.0,MSF0.FRK
2022-10-11,12.9,12.9,12.9,12.9,12.8007,0,0.0000,1.0,MSF0.FRK
2022-10-12,12.5,12.5,12.5,12.5,12.4038,0,0.0000,1.0,MSF0.FRK
2022-10-13,12.5,12.5,12.5,12.5,12.4038,0,0.0000,1.0,MSF0.FRK
2022-10-14,12.9,12.9,12.9,12.9,12.8007,0,0.0000,1.0,MSF0.FRK
2022-10-17,12.6,12.6,12.6,12.6,12.5031,0,0.0000,1.0,MSF0.FRK
2022-10-18,13.1,13.1,13.1,13.1,12.9992,0,0.0000,1.0,MSF0.FRK
2022-10-19,13.0,13.0,13.0,13.0,12.9,0,0.0000,1.0,MSF0.FRK
2022-10-20,13.0,13.0,13.0,13.0,12.9,0,0.0000,1.0,MSF0.FRK
2022-10-21,12.9,12.9,12.9,12.9,12.8007,0,0.0000,1.0,MSF0.FRK
2022-10-24,13.3,13.3,13.3,13.3,13.1977,0,0.0000,1.0,MSF0.FRK
2022-10-25,13.5,13.5,13.5,13.5,13.3961,0,0.0000,1.0,MSF0.FRK
2022-10-26,13.6,14.0,13.0,13.0,12.9,1115,0.0000,1.0,MSF0.FRK
2022-10-27,12.6,12.6,12.6,12.6,12.5031,0,0.0000,1.0,MSF0.FRK
2022-10-28,12.4,12.4,12.4,12.4,12.3046,0,0.0000,1.0,MSF0.FRK
2022-10-31,12.8,12.8,12.8,12.8,12.7015,0,0.0000,1.0,MSF0.FRK
2022-11-01,12.8,12.8,12.8,12.8,12.7015,0,0.0000,1.0,MSF0.FRK
2022-11-02,12.6,12.6,12.6,12.6,12.5031,0,0.0000,1.0,MSF0.FRK
2022-11-03,12.2,12.2,12.2,12.2,12.1061,0,0.0000,1.0,MSF0.FRK
2022-11-04,11.9,11.9,11.9,11.9,11.8084,0,0.0000,1.0,MSF0.FRK
2022-11-07,12.2,12.2,12.2,12.2,12.1061,0,0.0000,1.0,MSF0.FRK
2022-11-08,12.5,12.5,12.5,12.5,12.4038,0,0.0000,1.0,MSF0.FRK
2022-11-09,12.5,13.0,12.5,13.0,12.9,100,0.0000,1.0,MSF0.FRK
2022-11-10,12.3,12.3,12.3,12.3,12.2054,0,0.0000,1.0,MSF0.FRK
2022-11-11,13.2,13.2,13.2,13.2,13.0984,0,0.0000,1.0,MSF0.FRK
2022-11-14,13.3,13.3,13.3,13.3,13.1977,0,0.0000,1.0,MSF0.FRK
2022-11-15,13.0,13.0,12.9,12.9,12.8007,4,0.0000,1.0,MSF0.FRK
2022-11-16,13.0,13.0,13.0,13.0,12.9524,0,0.0522,1.0,MSF0.FRK
2022-11-17,13.0,13.0,13.0,13.0,12.9524,0,0.0000,1.0,MSF0.FRK
2022-11-18,12.9,12.9,12.9,12.9,12.8528,0,0.0000,1.0,MSF0.FRK
2022-11-21,12.9,12.9,12.9,12.9,12.8528,0,0.0000,1.0,MSF0.FRK
2022-11-22,13.0,13.0,13.0,13.0,12.9524,0,0.0000,1.0,MSF0.FRK
2022-11-23,13.6,13.6,13.6,13.6,13.5502,2,0.0000,1.0,MSF0.FRK
2022-11-24,13.1,13.1,13.1,13.1,13.0521,0,0.0000,1.0,MSF0.FRK
2022-11-25,13.4,13.4,13.4,13.4,13.351,0,0.0000,1.0,MSF0.FRK
2022-11-28,13.2,13.2,13.2,13.2,13.1517,0,0.0000,1.0,MSF0.FRK
2022-11-29,12.8,12.8,12.8,12.8,12.7532,0,0.0000,1.0,MSF0.FRK
2022-11-30,12.6,12.6,12.6,12.6,12.5539,0,0.0000,1.0,MSF0.FRK
2022-12-01,13.4,13.4,13.4,13.4,13.351,0,0.0000,1.0,MSF0.FRK
2022-12-02,13.3,13.3,13.3,13.3,13.2513,0,0.0000,1.0,MSF0.FRK
2022-12-05,13.2,13.2,13.2,13.2,13.1517,0,0.0000,1.0,MSF0.FRK
2022-12-06,12.9,13.1,12.9,13.1,13.0521,180,0.0000,1.0,MSF0.FRK
2022-12-07,12.7,12.7,12.7,12.7,12.6535,0,0.0000,1.0,MSF0.FRK
2022-12-08,12.5,12.5,12.5,12.5,12.4543,0,0.0000,1.0,MSF0.FRK
2022-12-09,12.7,12.7,12.7,12.7,12.6535,0,0.0000,1.0,MSF0.FRK
2022-12-12,13.1,13.1,13.1,13.1,13.0521,8,0.0000,1.0,MSF0.FRK
2022-12-13,12.9,13.6,12.9,13.6,13.5502,18,0.0000,1.0,MSF0.FRK
2022-12-14,13.1,13.1,13.1,13.1,13.0521,0,0.0000,1.0,MSF0.FRK
2022-12-15,13.1,13.1,13.1,13.1,13.0521,0,0.0000,1.0,MSF0.FRK
2022-12-16,12.7,12.7,12.7,12.7,12.6535,0,0.0000,1.0,MSF0.FRK
2022-12-19,12.5,12.5,12.5,12.5,12.4543,0,0.0000,1.0,MSF0.FRK
2022-12-20,12.2,12.7,12.2,12.7,12.6535,540,0.0000,1.0,MSF0.FRK
2022-12-21,12.4,12.4,12.4,12.4,12.3546,0,0.0000,1.0,MSF0.FRK
2022-12-22,12.5,12.5,12.5,12.5,12.4543,0,0.0000,1.0,MSF0.FRK
2022-12-23,12.6,12.6,12.6,12.6,12.5539,1,0.0000,1.0,MSF0.FRK
2022-12-27,12.2,12.7,12.2,12.7,12.6535,2,0.0000,1.0,MSF0.FRK
2022-12-28,12.3,12.3,12.3,12.3,12.255,0,0.0000,1.0,MSF0.FRK
2022-12-29,12.0,12.0,12.0,12.0,11.9561,0,0.0000,1.0,MSF0.FRK
2022-12-30,12.3,12.3,12.3,12.3,12.255,0,0.0000,1.0,MSF0.FRK
2023-01-03,13.0,13.0,12.7,12.7,12.6535,12,0.0000,1.0,MSF0.FRK
2023-01-04,12.3,12.3,12.3,12.3,12.255,0,0.0000,1.0,MSF0.FRK
2023-01-05,11.8,11.8,11.8,11.8,11.7568,8,0.0000,1.0,MSF0.FRK
2023-01-06,11.5,11.5,11.5,11.5,11.4579,0,0.0000,1.0,MSF0.FRK
2023-01-09,11.6,11.6,11.6,11.6,11.5576,0,0.0000,1.0,MSF0.FRK
2023-01-10,11.7,12.0,11.7,12.0,11.9561,20,0.0000,1.0,MSF0.FRK
2023-01-11,11.7,11.7,11.7,11.7,11.6572,0,0.0000,1.0,MSF0.FRK
2023-01-12,12.4,12.4,12.4,12.4,12.3546,2,0.0000,1.0,MSF0.FRK
2023-01-13,12.2,12.6,12.2,12.6,12.5539,2,0.0000,1.0,MSF0.FRK
2023-01-16,12.2,12.2,12.2,12.2,12.1554,0,0.0000,1.0,MSF0.FRK
2023-01-17,12.3,12.3,12.3,12.3,12.255,4000,0.0000,1.0,MSF0.FRK
2023-01-18,12.3,12.3,12.3,12.3,12.255,0,0.0000,1.0,MSF0.FRK
2023-01-19,11.9,11.9,11.9,11.9,11.8565,0,0.0000,1.0,MSF0.FRK
2023-01-20,11.8,12.5,11.8,12.5,12.4543,2,0.0000,1.0,MSF0.FRK
2023-01-23,12.6,12.7,12.6,12.6,12.5539,419,0.0000,1.0,MSF0.FRK
2023-01-24,12.3,12.7,12.3,12.7,12.6535,900,0.0000,1.0,MSF0.FRK
2023-01-25,12.3,12.3,12.1,12.1,12.0557,4,0.0000,1.0,MSF0.FRK
2023-01-26,12.1,12.1,12.1,12.1,12.0557,0,0.0000,1.0,MSF0.FRK
2023-01-27,12.5,12.5,12.5,12.5,12.4543,0,0.0000,1.0,MSF0.FRK
2023-01-30,13.1,13.1,12.5,12.5,12.4543,1100,0.0000,1.0,MSF0.FRK
2023-01-31,12.3,13.0,12.3,13.0,12.9524,800,0.0000,1.0,MSF0.FRK
2023-02-01,12.6,13.1,12.6,12.9,12.8528,1253,0.0000,1.0,MSF0.FRK
2023-02-02,12.7,13.4,12.7,13.4,13.351,880,0.0000,1.0,MSF0.FRK
2023-02-03,13.3,13.3,13.3,13.3,13.2513,0,0.0000,1.0,MSF0.FRK
2023-02-06,13.6,13.6,13.5,13.5,13.4506,62,0.0000,1.0,MSF0.FRK
2023-02-07,13.7,13.7,13.7,13.7,13.6499,40,0.0000,1.0,MSF0.FRK
2023-02-08,13.7,14.1,13.7,14.1,14.0484,2,0.0000,1.0,MSF0.FRK
2023-02-09,13.6,13.6,13.6,13.6,13.5502,0,0.0000,1.0,MSF0.FRK
2023-02-10,13.6,13.6,13.6,13.6,13.5502,0,0.0000,1.0,MSF0.FRK
2023-02-13,13.6,14.4,13.6,14.4,14.3473,1,0.0000,1.0,MSF0.FRK
2023-02-14,13.9,13.9,13.9,13.9,13.8492,30,0.0000,1.0,MSF0.FRK
2023-02-15,14.0,14.4,14.0,14.4,14.4,2730,0.0508,1.0,MSF0.FRK
2023-02-16,14.5,14.5,14.3,14.3,14.3,60,0.0000,1.0,MSF0.FRK
2023-02-17,13.4,13.4,13.4,13.4,13.4,60,0.0000,1.0,MSF0.FRK
